OBJECTID,CODIGO,nombre,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INSTALACION,altitud,latitud,longitud,DEPARTAMENTO,MUNICIPIO,AREA_OPERATIVA,AREA_HIDROGRAFICA,ZONA_HIDROGRAFICA,CORRIENTE,FECHA_SUSPENSION,SUBZONA_HIDROGRAFICA,ENTIDAD
11,51039010,TUMACO - AUT [51039010],Mareográfica,Automática con Telemetría,Activa,1951-09-15,0,1.81930556,-78.73027778,Nariño,Tumaco,Area Operativa 07 - Nariño-Putumayo,Pacifico,Mira,Pacifico,,Río Rosario,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
12,21017050,PITALITO 2 - AUT [21017050],Limnigráfica,Automática con Telemetría,Activa,1972-05-15,1250,1.84883333,-76.05244444,Huila,Pitalito,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Guarapas,,Alto Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
13,51025060,BIOTOPO - AUT [51025060],Climática Principal,Automática con Telemetría,Activa,2005-12-12,512,1.40863889,-78.28161111,Nariño,Barbacoas,Area Operativa 07 - Nariño-Putumayo,Pacifico,Mira,Guarapas,,Río Mira,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
14,51025090,GRANJA EL MIRA - - AUT [51025090],Climática Principal,Automática con Telemetría,Activa,2016-08-01,16,1.55019444,-78.69558333,Nariño,Tumaco,Area Operativa 07 - Nariño-Putumayo,Pacifico,Mira,0,,Río Mira,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
15,52077010,PUENTE PUSMEO - AUT [52077010],Limnigráfica,Automática con Telemetría,Activa,1965-09-15,380,1.62405556,-77.47891667,Nariño,Cumbitara,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,Patia,,Río Patia Medio,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
16,51027060,SAN JUAN MIRA - AUT [51027060],Limnigráfica,Automática con Telemetría,Activa,1980-12-15,2,1.42388889,-78.67027778,Nariño,Tumaco,Area Operativa 07 - Nariño-Putumayo,Pacifico,Mira,Mira,,Río Mira,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
17,44037060,FLORENCIA-HACHA [44037060],Limnigráfica,Automática con Telemetría,Activa,1971-02-15,270,1.62116667,-75.61922222,Caquetá,Florencia (Caquetá),Area Operativa 04 - Huila-Caquetá,Amazonas,Caquetá,Hacha,,Río Orteguaza,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
18,51020011,Piedrancha - - AUT [51020011],Pluviográfica,Automática con Telemetría,Activa,2016-07-01,1830,1.14152778,-77.92897222,Nariño,Mallama (Piedrancha),Area Operativa 07 - Nariño-Putumayo,Pacifico,Mira,Hacha,,Río Mira,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
19,44015060,ACUEDUCTO MOCOA - AUT [44015060],Climática Principal,Automática con Telemetría,Activa,2006-03-29,650,1.15733333,-76.65183333,Putumayo,Mocoa,Area Operativa 07 - Nariño-Putumayo,Amazonas,Caquetá,Hacha,,Alto Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
20,52055210,BOTANA - AUT [52055210],Climática Principal,Automática con Telemetría,Activa,2004-03-01,2820,1.16,-77.27880556,Nariño,Pasto,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,Hacha,,Río Juananbú,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
21,51025070,RICAURTE - AUT [51025070],Climática Principal,Automática con Telemetría,Suspendida,2005-12-15,1210,1.21533333,-77.99691667,Nariño,Ricaurte (Nariño),Area Operativa 07 - Nariño-Putumayo,Pacifico,Mira,Hacha,2006-08-25,Río Mira,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
22,26015030,PNN PURACE - AUT [26015030],Climática Principal,Automática con Telemetría,Activa,2007-09-26,368,2.35684889,-76.40354389,Cauca,Puracé (Coconuco),Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Vaupes,,Alto Río Cauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
23,52035040,VIENTO LIBRE - AUT [52035040],Climática Ordinaria,Automática con Telemetría,Activa,2004-03-01,1400,1.62,-77.34,Nariño,Taminango,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,0,,Río Patia Alto,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
24,26015010,EL TABLAZO - AUT [26015010],Climática Principal,Automática con Telemetría,Activa,2005-06-28,1837,2.47483306,-76.58129361,Cauca,Popayán,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Vaupes,,Alto Río Cauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
25,21017020,SAN AGUSTIN - AUT [21017020],Limnigráfica,Convencional,Activa,1971-04-15,1233,1.87027778,-76.23161111,Huila,San Agustín,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Sombrerillos,,Alto Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
26,21015050,PURACE  - AUT [21015050],Climática Principal,Automática con Telemetría,Activa,2005-07-17,1900,1.92591667,-76.42755556,Huila,San Agustín,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Sombrerillos,,Alto Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
27,21015040,LA PRIMAVERA - AUT [21015040],Climática Principal,Automática con Telemetría,Activa,2005-07-28,1919,2.02158333,-76.11433333,Huila,Saladoblanco,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Sombrerillos,,Ríos Directos al Magdalena (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
28,52015050,BALBOA - AUT [52015050],Climática Principal,Automática con Telemetría,Activa,2005-09-27,1700,2.03277778,-77.22166667,Cauca,Balboa (Cauca),Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,Suaza,,Río Patia Alto,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
29,52025090,LA SIERRA - AUT [52025090],Climática Principal,Automática con Telemetría,Activa,2005-09-23,1870,2.19383333,-76.75033333,Cauca,La Sierra,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,Suaza,,Río Guachicono,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
30,21015060,MARENGO  - AUT [21015060],Agrometeorológica,Automática con Telemetría,Activa,2005-07-23,1550,2.22111111,-76.11888889,Huila,Pitalito,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Suaza,,Río Páez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
31,46015030,SAN VICENTE DEL CAGUAN  - AUT [46015030],Climática Principal,Automática con Telemetría,Activa,2008-09-29 19:00,300,2.063,-74.76269444,Caquetá,San Vicente Del Caguán,Area Operativa 04 - Huila-Caquetá,Amazonas,Caguán,0,,Río Caguan Alto,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
32,21047010,PUENTE BALSEADERO [21047010],Limnigráfica,Automática con Telemetría,Suspendida,1971-09-05,688,2.23236111,-75.64855556,Huila,Agrado,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Magdalena,2018-06-14 14:52,Ríos Directos al Magdalena (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
33,53075020,EL DIVISO - AUT [53075020],Climática Principal,Automática con Telemetría,Activa,2005-09-29,1750,2.31141667,-77.25877778,Cauca,Argelia (Cauca),Area Operativa 07 - Nariño-Putumayo,Pacifico,Tapaje - Dagua - Directos,Magdalena,,Río San Juan del Micay,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
34,26035090,LA LAGUNA DE CAJIBIO [26035090],Climática Principal,Automática con Telemetría,Suspendida,2004-10-04,1872,2.699175,-76.59544444,Cauca,Cajibío,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Magdalena,2016-01-06,Río Piendamo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
35,21057100,TALAGA TOEZ - AUT [21057100],Limnigráfica,Automática con Telemetría,Suspendida,1991-09-01,1900,2.70555556,-76.02219444,Cauca,Páez (Belalcázar),Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Paez,2007-04-26,Río Páez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
36,52045080,UNIVERSIDAD DE NARINO  - AUT [52045080],Climática Ordinaria,Automática con Telemetría,Activa,2004-04-13,2626,1.23,-77.28,Nariño,Pasto,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,0,,Río Juananbú,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
37,21115170,LA PLATA - AUT [21115170],Climática Principal,Automática con Telemetría,Activa,2005-07-20,2101,2.75913889,-75.07455556,Huila,Neiva,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Paez,,Rio Fortalecillas y otros,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
38,21097070,PUENTE SANTANDER [21097070],Limnigráfica,Automática con Telemetría,Activa,1960-09-15,431,2.94261111,-75.30852778,Huila,Neiva,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Magdalena,,Rio Fortalecillas y otros,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
39,57025020,GORGONA GUAPI [57025020],Climática Principal,Automática con Telemetría,Activa,2005-09-18,10,2.96294444,-78.17436111,Cauca,Guapi,Area Operativa 07 - Nariño-Putumayo,Orinoco,Guaviare,Magdalena,,Medio Guaviare,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
40,22025040,EL DIABLO - AUT [22025040],Climática Principal,Automática con Telemetría,Activa,2005-05-31,495,2.97772222,-76.06383333,Cauca,Páez (Belalcázar),Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Alto Magdalena,Quebrada Don Abad,,Río Páez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
41,53077010,ANGOSTURA RIO MICAY [53077010],Limnigráfica,Automática con Telemetría,Activa,1960-03-15,120,2.80122222,-77.24102778,Cauca,López,Area Operativa 07 - Nariño-Putumayo,Pacifico,Tapaje - Dagua - Directos,Micay,,Río San Juan del Micay,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
42,21117100,PUEBLO NUEVO - AUT [21117100],Limnigráfica,Automática con Telemetría,Activa,1983-06-15,1280,2.82744444,-75.08883333,Huila,Neiva,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Ceibas,,Rio Fortalecillas y otros,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
43,48017050,BOCATOMA YAGUARCACA [48017050],Limnimétrica,Convencional,Suspendida,1989-12-15,83,-4.19047222,-69.95027778,Amazonas,Leticia,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Amazonas,Amazonas - Directos,Quebrada Yahuarcaca,2014-01-14,Directos Río Amazonas (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
44,25027980,UNION LA [25027980],Limnigráfica,Convencional,Suspendida,1976-10-15,23,8.7,-74.31666667,Bolívar,Pinillos,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cga. La Iguana,1976-11-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
45,25027640,TRES CRUCES [25027640],Limnimétrica,Convencional,Activa,1974-09-15,31,8.70308333,-74.51730556,Bolívar,Achí,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cauca,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
46,25020030,GUACAMAYO [25020030],Pluviométrica,Convencional,Activa,1966-07-15,30,8.72722222,-74.51222222,Bolívar,Achí,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cauca,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
47,25028210,CNO VIDE [25028210],Limnimétrica,Convencional,Suspendida,1974-09-15,21,8.78333333,-74.33333333,Bolívar,Pinillos,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cno Vide,1981-07-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
48,25027400,ALTO DEL ROSARIO [25027400],Limnimétrica,Convencional,Activa,1973-07-15,24,8.79444444,-74.16027778,Bolívar,Altos Del Rosario,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cno Las Palomas,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
49,25028220,NO TE PASES HACIENDA [25028220],Limnimétrica,Convencional,Suspendida,1978-06-15,21,8.8,-74.33333333,Bolívar,Pinillos,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cno Tapoa,1981-07-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
50,25028230,PUERTO CARMEN [25028230],Limnimétrica,Convencional,Suspendida,1976-06-15,22,8.81666667,-74.31666667,Bolívar,Pinillos,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cno Tapoa,1981-07-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
51,25027390,PALOMAS LAS [25027390],Limnimétrica,Convencional,Activa,1973-07-15,24,8.83055556,-74.17055556,Bolívar,Altos Del Rosario,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Magdalena,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
52,25028240,NUEVO HORIZONTE [25028240],Limnimétrica,Convencional,Suspendida,1979-09-15,21,8.86666667,-74.35,Bolívar,Pinillos,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Bzo De Loba,1981-07-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
53,25027990,CONTENTO EL [25027990],Limnimétrica,Convencional,Suspendida,1974-09-15,20,8.88333333,-74.45,Bolívar,Pinillos,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Bzo De Tapoa,1981-07-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
54,25028410,MANTEQUERA [25028410],Limnimétrica,Convencional,Suspendida,1974-09-15,20,8.88333333,-74.45,Bolívar,Pinillos,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cga. Mantequera,1981-07-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
55,25020410,CANDELARIA LA [25020410],Pluviométrica,Convencional,Activa,1966-07-15,28,8.21944444,-74.72875,Bolívar,San Jacinto Del Cauca,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Vaupes,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
56,25027280,CANDELARIA LA [25027280],Limnimétrica,Convencional,Suspendida,1966-11-15,22,8.23333333,-74.71666667,Bolívar,San Jacinto Del Cauca,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cauca,1969-05-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
57,25028350,MANCHA LA [25028350],Limnimétrica,Convencional,Suspendida,1979-09-15,30,8.26666667,-74.58333333,Bolívar,San Jacinto Del Cauca,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cno Rompedero,1999-07-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
58,13090030,BERRUGAS [13090030],Pluviométrica,Convencional,Activa,1974-04-15,1,9.91027778,-75.60055556,Sucre,San Onofre,Area Operativa 02 - Atlántico-Bolivar-Sucre,Caribe,Atrato - Darién,Cno Rompedero,,Río Andágueda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
59,25027880,GALINDO [25027880],Limnimétrica,Convencional,Suspendida,1975-04-15,33,8.3,-74.58333333,Bolívar,San Jacinto Del Cauca,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cauca,2002-05-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
60,25025230,MONTECRISANTO [25025230],Climática Ordinaria,Convencional,Suspendida,1974-08-15,100,8.3,-74.48333333,Bolívar,Montecristo,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cauca,2004-11-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
61,25020450,MONTECRISANTO [25020440],Pluviométrica,Convencional,Suspendida,1966-07-15,80,8.3,-74.43333333,Bolívar,Montecristo,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cauca,1974-10-15,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
62,48017010,LETICIA [48017010],Limnigráfica,Convencional,Activa,1986-05-15,120,-4.22252778,-69.94272222,Amazonas,Leticia,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Amazonas,Amazonas - Directos,Amazonas,,Directos Río Amazonas (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
63,25020800,BUENAVISTA [25020800],Pluviométrica,Convencional,Activa,1974-04-14 19:00,10,8.57305556,-74.52972222,Bolívar,Achí,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Cauca,0,,Directos Bajo Cauca - Cga La Raya entre río Nechí,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
64,24035380,NEVADO DEL COCUY - AUT [24035380],Climática Principal,Automática con Telemetría,Activa,2005-11-18 19:00,4676,6.50911111,-72.31416667,Boyacá,Guicán,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,0,,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
65,24037001,LA PLAYA  CARDENILLO [24037001],Limnigráfica,Automática sin Telemetría,Activa,2013-10-23 19:00,3742,6.49955556,-72.37613889,Boyacá,Guicán,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,Rio Cardenillo,,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
66,21057030,PUENTE RICAURTE - AUT [21057030],Limnigráfica,Convencional,Activa,1971-06-15,1140,2.52291667,-75.96158333,Cauca,Páez (Belalcázar),Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Paez,,Río Páez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
67,21055070,INZA - AUT [21055070],Climática Principal,Automática con Telemetría,Activa,2005-11-11,1800,2.54819444,-76.06394444,Cauca,Inzá,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Paez,,Río Páez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
68,53045040,AEROPUERTO GUAPI - AUT [53045040],Climática Principal,Automática con Telemetría,Activa,2004-03-01,42,2.57441667,-77.89475,Cauca,Guapi,Area Operativa 07 - Nariño-Putumayo,Pacifico,Tapaje - Dagua - Directos,Paez,,Río Guapi,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
69,21087080,HACIENDA VENECIA - AUT [21087080],Limnigráfica,Automática con Telemetría,Activa,1983-06-15,575,2.64380556,-75.54430556,Huila,Yaguará,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Yaguara,,Río Yaguará y Río Iquira,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
70,21115180,HACIENDA MANILA - AUT [21115180],Agrometeorológica,Automática con Telemetría,Activa,2005-06-15,600,3.13305556,-75.08152778,Huila,Baraya,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Yaguara,,Rio Fortalecillas y otros,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
71,26075120,LA DIANA - AUT [26075120],Climática Principal,Automática con Telemetría,Activa,2005-06-26,1615,3.31405556,-76.18569444,Valle del Cauca,Florida,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Yaguara,,Río Guachal (Bolo - Fraile y Párraga),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
72,26055100,FARALLONES - AUT [26055100],Climática Principal,Automática con Telemetría,Activa,2005-06-28,227,3.41605556,-76.6515,Valle del Cauca,Cali,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Yaguara,,Ríos Cali,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
73,26055110,LA INDEPENDENCIA - AUT [26055110],Agrometeorológica,Automática con Telemetría,Activa,2005-06-27 19:00,14,3.18536111,-76.56930556,Valle del Cauca,Jamundí,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,0,,Ríos Claro y Jamundí,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
